"QACImpl","vm_used","rss_used","heap_used","heap_peak","heap_total","stack_used","nrows","BytesProcessed"
"14HTrieCompleter",0,0,18810,22016,84437,2480,512,13635
"14HTrieCompleter",0,0,69741,76990,355218,2480,2048,54158
"14HTrieCompleter",0,0,255072,319806,1.35711e+06,2480,8192,217057
"15MarisaCompleter",0,0,40451,88765,332027,2832,512,13393
"15MarisaCompleter",0,0,128748,292916,1.09343e+06,2832,2048,54897
"15MarisaCompleter",0,0,456420,921635,3.5691e+06,2928,8192,217103
"8DAWGTrie",0,0,49544,135448,313255,14552,512,13965
"8DAWGTrie",0,0,188296,430904,1.06807e+06,14776,2048,54912
"8DAWGTrie",0,0,707976,1.35436e+06,2.89104e+06,14776,8192,217373
"18IncNgTrieCompleter",0,0,9.02904e+07,9.03065e+07,9.25693e+07,2504,512,13738
"18IncNgTrieCompleter",0,0,1.3078e+08,1.30796e+08,1.39605e+08,2840,2048,54242
"18IncNgTrieCompleter",0,0,2.72539e+08,2.72556e+08,3.07683e+08,3160,8192,216361
