2020-03-30 22:48:52
Running ./bm_build
Run on (32 X 4073.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x16)
  L1 Instruction 32K (x16)
  L2 Unified 1024K (x16)
  L3 Unified 25344K (x2)
Load Average: 4.19, 4.58, 4.24
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"BytesProcessed","NBytes"
"BuildFixture/BuildHTrie/512",13501,50284.5,50282.4,ns,,,,,,1.67454e+08,8420
"BuildFixture/BuildHTrie/1024",6597,107457,107451,ns,,,,,,1.57969e+08,16974
"BuildFixture/BuildHTrie/2048",2856,246119,246108,ns,,,,,,1.37281e+08,33786
"BuildFixture/BuildHTrie/4096",1522,462636,462621,ns,,,,,,1.46671e+08,67853
"BuildFixture/BuildHTrie/8192",694,1.01492e+06,1.01487e+06,ns,,,,,,1.32705e+08,134678
"BuildFixture/BuildHTrie/16384",377,1.87547e+06,1.87536e+06,ns,,,,,,1.44048e+08,270142
"BuildFixture/BuildHTrie/32768",128,5.45101e+06,5.45068e+06,ns,,,,,,9.97664e+07,543795
"BuildFixture/BuildHTrie/65536",71,9.67488e+06,9.67034e+06,ns,,,,,,1.11983e+08,1.08291e+06
"BuildFixture/BuildHTrie/131072",38,1.81773e+07,1.81768e+07,ns,,,,,,1.19346e+08,2.16932e+06
"BuildFixture/BuildHTrie/262144",17,4.0033e+07,4.00307e+07,ns,,,,,,1.0825e+08,4.33332e+06
"BuildFixture/BuildHTrie/524288",8,9.08126e+07,9.08097e+07,ns,,,,,,9.54786e+07,8.67039e+06
"BuildFixture/BuildHTrie/1048576",4,1.92268e+08,1.92255e+08,ns,,,,,,9.01497e+07,1.73317e+07
"BuildFixture/BuildHTrie/2097152",2,3.9682e+08,3.96798e+08,ns,,,,,,8.73661e+07,3.46667e+07
"BuildFixture/BuildHTrie/4194304",1,8.39792e+08,8.39764e+08,ns,,,,,,8.25816e+07,6.93491e+07
"BuildFixture/BuildHTrie/5077651",1,9.14067e+08,9.14011e+08,ns,,,,,,8.2498e+07,7.5404e+07
"BuildFixture/BuildMarisa/512",1602,437404,437381,ns,,,,,,1.96602e+07,8599
"BuildFixture/BuildMarisa/1024",814,877567,877521,ns,,,,,,1.95973e+07,17197
"BuildFixture/BuildMarisa/2048",411,1.7128e+06,1.7127e+06,ns,,,,,,1.96001e+07,33569
"BuildFixture/BuildMarisa/4096",205,3.41285e+06,3.41266e+06,ns,,,,,,1.97321e+07,67339
"BuildFixture/BuildMarisa/8192",104,6.73565e+06,6.73534e+06,ns,,,,,,2.01509e+07,135723
"BuildFixture/BuildMarisa/16384",54,1.33347e+07,1.33341e+07,ns,,,,,,2.02526e+07,270050
"BuildFixture/BuildMarisa/32768",28,2.54904e+07,2.54896e+07,ns,,,,,,2.13528e+07,544274
