2020-03-30 22:58:51
Running ./bm_query
Run on (32 X 4087.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x16)
  L1 Instruction 32K (x16)
  L2 Unified 1024K (x16)
  L3 Unified 25344K (x2)
Load Average: 4.43, 4.69, 4.50
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"NComp","NPQ","NPQInvRate","NPQRate","PQByesInvRate","PQBytes","PQBytesRate"
"QueryFixture<HTrieCompleter>/QueryHTrie/5077651/16/115",7,130.649,130.641,ms,,,,,,3416,784,0.00116644,857.311,0.000128837,7098,7761.72
"QueryFixture<HTrieCompleter>/QueryHTrie/5077651/64/115",1,1231.42,1231.36,ms,,,,,,1577,371,0.00331904,301.292,0.000329418,3738,3035.66
"QueryFixture<HTrieCompleter>/QueryHTrie/5077651/512/115",1,9457.42,9457.1,ms,,,,,,14782,3211,0.00294522,339.533,0.000320808,29479,3117.13
"QueryFixture<HTrieCompleter>/QueryHTrie/5077651/4096/115",1,77052.5,77049.9,ms,,,,,,116798,27127,0.00284034,352.07,0.000297528,258967,3361.03
"QueryFixture<HTrieCompleter>/QueryHTrie/5077651/16/108",3,234.332,234.322,ms,,,,,,2610,735,0.000956416,1045.57,7.2277e-05,9726,13835.7
"QueryFixture<HTrieCompleter>/QueryHTrie/5077651/64/108",1,811.309,811.282,ms,,,,,,3586,849,0.000955573,1046.49,9.09203e-05,8923,10998.6
"QueryFixture<HTrieCompleter>/QueryHTrie/5077651/512/108",1,6729.15,6728.91,ms,,,,,,29002,6983,0.000963614,1037.76,9.35299e-05,71944,10691.8
"QueryFixture<HTrieCompleter>/QueryHTrie/5077651/4096/108",1,54135.9,54134.2,ms,,,,,,229156,56927,0.00095094,1051.59,8.87418e-05,610019,11268.7
"QueryFixture<MarisaCompleter>/QueryMarisa/5077651/16/115",2,292.748,292.738,ms,,,,,,716,166,0.00352697,283.53,0.000336481,1740,2971.94
"QueryFixture<MarisaCompleter>/QueryMarisa/5077651/64/115",1,7442.53,7442.27,ms,,,,,,1652,379,0.0196366,50.9253,0.00200169,3718,499.578
"QueryFixture<MarisaCompleter>/QueryMarisa/5077651/512/115",1,42485.1,42483.7,ms,,,,,,15308,3551,0.0119639,83.585,0.00127193,33401,786.207
"QueryFixture<MarisaCompleter>/QueryMarisa/5077651/4096/115",1,306746,306731,ms,,,,,,116560,26978,0.0113697,87.9533,0.00121521,252410,822.904
"QueryFixture<MarisaCompleter>/QueryMarisa/5077651/16/108",1,920.472,920.42,ms,,,,,,1012,207,0.00444647,224.897,0.000504064,1826,1983.88
"QueryFixture<MarisaCompleter>/QueryMarisa/5077651/64/108",1,3774.31,3774.11,ms,,,,,,3529,803,0.00470001,212.765,0.000518778,7275,1927.61
"QueryFixture<MarisaCompleter>/QueryMarisa/5077651/512/108",1,29130.8,29129.4,ms,,,,,,29110,7523,0.00387204,258.262,0.000331445,87886,3017.09
"QueryFixture<MarisaCompleter>/QueryMarisa/5077651/4096/108",1,231010,231000,ms,,,,,,230297,56893,0.00406025,246.29,0.000379311,608998,2636.36
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/16/115",2299,0.43148,0.431459,ms,,,,,,1.161e+06,317262,3.12651e-06,319845,3.57464e-07,2.77489e+06,2.79749e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/64/115",440,1.41869,1.41862,ms,,,,,,679360,203280,3.0706e-06,325669,2.97966e-07,2.09484e+06,3.35609e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/512/115",55,10.5275,10.527,ms,,,,,,632280,169785,3.41012e-06,293245,3.46364e-07,1.67162e+06,2.88714e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/4096/115",6,106.053,106.046,ms,,,,,,628368,166776,3.81515e-06,262113,3.96935e-07,1.60297e+06,2.5193e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/16/108",1170,0.671217,0.67118,ms,,,,,,917280,313560,2.5044e-06,399297,1.88799e-07,4.15935e+06,5.29664e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/64/108",250,2.98267,2.98255,ms,,,,,,797000,227500,3.27752e-06,305108,3.08625e-07,2.416e+06,3.24018e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/512/108",29,23.6625,23.6612,ms,,,,,,740834,217645,3.15273e-06,317186,2.8258e-07,2.42826e+06,3.53883e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/4096/108",3,203.446,203.435,ms,,,,,,608856,176148,3.46474e-06,288622,3.10861e-07,1.96328e+06,3.21687e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/16/115",2241,0.258081,0.258067,ms,,,,,,835893,221859,2.60674e-06,383622,2.59625e-07,2.22755e+06,3.85172e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/64/115",408,1.35663,1.35656,ms,,,,,,620568,173808,3.18441e-06,314030,3.26488e-07,1.69524e+06,3.0629e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/512/115",47,11.1854,11.1844,ms,,,,,,573494,152562,3.4456e-06,290225,3.47839e-07,1.51124e+06,2.87489e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/4096/115",6,99.9033,99.8995,ms,,,,,,606006,160158,3.74254e-06,267198,3.94563e-07,1.51914e+06,2.53445e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/16/108",900,0.693385,0.693349,ms,,,,,,761400,219600,2.84159e-06,351915,2.25333e-07,2.7693e+06,4.43788e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/64/108",236,2.86754,2.8674,ms,,,,,,746940,190216,3.55756e-06,281091,3.64021e-07,1.85897e+06,2.74709e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/512/108",29,23.5864,23.5852,ms,,,,,,751883,219066,3.12222e-06,320285,2.72819e-07,2.50705e+06,3.66543e+06
"QueryFixture<DAWGTrie>/QueryDAWG/5077651/4096/108",3,202.492,202.485,ms,,,,,,607287,174807,3.47501e-06,287769,3.16679e-07,1.91821e+06,3.15777e+06
"QueryFixture<IncNgTrieCompleter>/QueryIncNgTrie/5077651/16/115",1,6810.53,6810.27,ms,,,,,,499,119,0.0572291,17.4736,0.00598968,1137,166.954
"QueryFixture<IncNgTrieCompleter>/QueryIncNgTrie/5077651/64/115",1,30056.1,30054.7,ms,,,,,,2401,446,0.0673873,14.8396,0.00756474,3973,132.192
"QueryFixture<IncNgTrieCompleter>/QueryIncNgTrie/5077651/512/115",1,244137,244126,ms,,,,,,17056,3401,0.0717807,13.9313,0.00744469,32792,134.324
"QueryFixture<IncNgTrieCompleter>/QueryIncNgTrie/5077651/4096/115",1,2.73711e+06,2.73409e+06,ms,,,,,,143505,27999,0.0976495,10.2407,0.010384,263299,96.3023
"QueryFixture<IncNgTrieCompleter>/QueryIncNgTrie/5077651/16/108",1,19570.3,19569.6,ms,,,,,,1210,299,0.0654501,15.2788,0.00479177,4084,208.691
"QueryFixture<IncNgTrieCompleter>/QueryIncNgTrie/5077651/64/108",1,78207.7,78194.2,ms,,,,,,4121,787,0.0993574,10.0647,0.0112348,6960,89.0091
"QueryFixture<IncNgTrieCompleter>/QueryIncNgTrie/5077651/512/108",1,685822,685694,ms,,,,,,33886,7221,0.0949583,10.5309,0.00848306,80831,117.882
